Vardas Pavarde ND1 ND2 ND3 ND4 ND5 ND6 ND7 ND8 ND9 ND10 Egzaminas
Tomas Zukauskas 3 3 8 8 10 10 6 5 3 9 8
Darius Kazlauskas 4 5 3 2 1 2 3 8 2 5 2
Marius Kavolis 1 4 1 7 2 1 1 6 8 5 4
Lukas Kavolis 2 4 3 6 7 4 8 6 6 2 4
Lukas Kavolis 10 1 5 5 8 4 5 8 7 3 3
Kazys Zukauskas 8 1 3 6 2 3 5 8 8 10 8
Paulius Jonaitis 2 2 7 4 3 8 6 4 7 6 7
Marius Kavaliauskas 6 8 6 4 2 5 9 4 5 4 2
Kazys Brazinskas 5 9 9 1 5 3 7 1 5 10 8
Darius Stankevicius 2 8 10 4 9 6 3 3 2 8 5
Mantas Stankevicius 9 5 2 5 1 6 5 1 10 2 7
Paulius Jankauskas 10 6 3 3 8 10 2 4 9 9 6
Petras Kazlauskas 10 8 10 2 1 6 8 10 8 1 5
Mantas Kazlauskas 6 10 2 1 7 2 9 2 3 10 2
Petras Zukauskas 10 10 7 5 10 4 4 10 1 8 3
Mantas Kazlauskas 9 4 9 2 10 9 8 5 8 7 5
Kazys Zukauskas 8 6 4 4 8 5 5 8 2 5 6
Marius Jonaitis 5 1 4 4 5 8 8 1 1 6 8
Tomas Kazlauskas 9 5 9 8 9 7 4 8 8 4 8
Paulius Brazinskas 5 1 10 8 4 10 3 9 8 4 4
Kazys Kazlauskas 7 10 4 8 2 8 8 7 9 2 6
Tomas Kavolis 4 9 9 9 6 4 2 10 6 6 5
Kazys Stankevicius 7 1 4 6 1 9 7 6 6 1 4
Jonas Kazlauskas 6 7 5 6 8 8 9 10 5 7 7
Kazys Kavaliauskas 4 9 3 10 7 1 3 8 10 5 10
Darius Kavaliauskas 1 3 7 8 4 2 1 7 5 10 5
Marius Stankevicius 10 10 7 1 7 2 9 2 7 7 10
Darius Zukauskas 9 7 4 6 10 6 6 10 2 10 6
Jonas Stankevicius 9 10 1 3 4 4 8 9 10 10 4
Petras Kavaliauskas 7 4 9 1 3 3 8 10 10 1 1
Jonas Brazinskas 1 4 6 4 2 5 2 2 9 8 7
Kazys Jonaitis 7 7 6 6 2 2 4 4 4 8 9
Darius Kavaliauskas 1 3 1 4 3 4 2 5 2 2 8
Jonas Petraitis 7 5 10 6 4 1 10 1 5 7 5
Jonas Jankauskas 2 10 2 10 5 8 5 1 10 2 6
Darius Zukauskas 7 5 6 1 9 3 7 4 6 8 8
Antanas Kavaliauskas 2 5 8 4 2 8 3 8 7 10 5
Petras Zukauskas 8 8 9 2 1 6 5 1 7 8 7
Antanas Petraitis 1 1 7 10 7 8 1 6 8 8 6
Darius Kavaliauskas 5 3 4 4 5 2 2 8 2 7 9
Paulius Kavaliauskas 1 7 5 9 6 5 5 2 7 1 9
Tomas Zukauskas 6 2 7 3 6 10 7 6 10 9 8
Tomas Stankevicius 10 6 2 9 1 9 7 4 7 1 8
Lukas Petraitis 7 1 10 10 6 2 4 7 3 8 10
Jonas Zukauskas 4 9 3 8 4 9 5 9 7 3 8
Kazys Jankauskas 2 9 4 7 10 7 9 9 5 7 2
Marius Kavolis 4 8 9 4 9 10 4 1 5 9 8
Antanas Jonaitis 1 8 8 7 9 10 10 2 9 6 2
Darius Petraitis 10 4 6 3 8 7 8 4 8 10 9
Petras Kavolis 10 6 7 8 8 4 1 7 10 8 1
Mantas Zukauskas 3 1 4 10 2 7 5 8 10 10 9
Darius Kazlauskas 7 6 8 5 5 5 5 1 4 2 1
Marius Brazinskas 4 3 2 1 10 5 7 6 9 6 1
Lukas Jankauskas 5 5 2 2 1 10 9 6 8 4 6
Marius Stankevicius 9 8 7 8 5 1 5 2 10 10 3
Paulius Jonaitis 9 6 4 10 2 6 7 4 3 10 2
Antanas Jankauskas 4 10 5 4 1 4 6 3 1 5 2
Paulius Jonaitis 3 4 1 7 10 5 9 1 6 8 9
Marius Kavaliauskas 7 9 5 5 6 8 7 2 3 10 3
Jonas Kazlauskas 8 3 1 8 1 10 4 6 2 6 2
Tomas Petraitis 4 3 6 8 10 9 9 1 2 10 10
Darius Jonaitis 5 5 3 9 5 4 4 1 2 10 2
Antanas Kavolis 1 1 5 2 7 10 7 10 9 6 3
Jonas Brazinskas 10 7 8 6 7 8 2 3 7 7 9
Marius Kazlauskas 4 9 6 4 8 8 9 5 4 8 1
Tomas Jankauskas 7 3 6 2 2 9 2 9 4 2 4
Kazys Kavaliauskas 6 2 8 5 3 10 10 8 9 7 10
Mantas Zukauskas 1 7 9 1 7 10 2 5 4 9 8
Tomas Kavaliauskas 4 6 2 3 5 10 2 5 10 7 1
Tomas Petraitis 1 8 1 3 2 2 3 6 6 4 7
Mantas Stankevicius 10 1 8 5 2 5 8 10 3 8 1
Petras Kazlauskas 1 2 8 1 5 5 5 6 3 5 2
Marius Jankauskas 9 5 3 5 4 1 3 8 1 10 6
Jonas Kavolis 10 5 10 6 7 10 7 6 6 5 10
Mantas Stankevicius 6 6 9 6 5 6 1 10 3 4 6
Mantas Stankevicius 3 4 3 4 9 1 5 3 2 2 1
Marius Kazlauskas 3 3 2 4 5 10 9 4 4 3 7
Kazys Petraitis 6 1 7 5 5 9 3 6 8 9 2
Jonas Kazlauskas 5 4 4 1 2 7 5 4 2 5 6
